File Name,Algorithm,Entropy
pattern_100KB.bin,MD5,4.0
pattern_100KB.bin,SHA-1,4.221928094887362
pattern_100KB.bin,SHA-256,4.874999999999999
pattern_100KB.bin,SHA3-256,4.812499999999999
pattern_100KB.bin,BLAKE2b,5.937500000000002
pattern_100MB.bin,MD5,4.0
pattern_100MB.bin,SHA-1,4.321928094887362
pattern_100MB.bin,SHA-256,4.812499999999998
pattern_100MB.bin,SHA3-256,4.749999999999999
pattern_100MB.bin,BLAKE2b,5.75
pattern_10KB.bin,MD5,3.8749999999999996
pattern_10KB.bin,SHA-1,4.321928094887362
pattern_10KB.bin,SHA-256,4.874999999999998
pattern_10KB.bin,SHA3-256,4.874999999999999
pattern_10KB.bin,BLAKE2b,5.812500000000001
pattern_10MB.bin,MD5,4.0
pattern_10MB.bin,SHA-1,4.221928094887361
pattern_10MB.bin,SHA-256,4.874999999999998
pattern_10MB.bin,SHA3-256,5.0
pattern_10MB.bin,BLAKE2b,5.663909765557392
pattern_1KB.bin,MD5,3.8750000000000004
pattern_1KB.bin,SHA-1,4.321928094887362
pattern_1KB.bin,SHA-256,4.937499999999999
pattern_1KB.bin,SHA3-256,4.937499999999999
pattern_1KB.bin,BLAKE2b,5.718750000000002
pattern_1MB.bin,MD5,4.0
pattern_1MB.bin,SHA-1,4.321928094887362
pattern_1MB.bin,SHA-256,4.749999999999999
pattern_1MB.bin,SHA3-256,4.812499999999998
pattern_1MB.bin,BLAKE2b,5.812499999999999
pattern_200MB.bin,MD5,4.0
pattern_200MB.bin,SHA-1,4.221928094887361
pattern_200MB.bin,SHA-256,5.0
pattern_200MB.bin,SHA3-256,4.874999999999998
pattern_200MB.bin,BLAKE2b,5.875000000000002
pattern_20KB.bin,MD5,4.0
pattern_20KB.bin,SHA-1,4.321928094887362
pattern_20KB.bin,SHA-256,4.937499999999999
pattern_20KB.bin,SHA3-256,4.937499999999999
pattern_20KB.bin,BLAKE2b,5.831954882778697
pattern_20MB.bin,MD5,4.0
pattern_20MB.bin,SHA-1,4.221928094887362
pattern_20MB.bin,SHA-256,5.0
pattern_20MB.bin,SHA3-256,4.937499999999999
pattern_20MB.bin,BLAKE2b,5.738204882778696
pattern_2KB.bin,MD5,3.75
pattern_2KB.bin,SHA-1,4.221928094887361
pattern_2KB.bin,SHA-256,5.0
pattern_2KB.bin,SHA3-256,4.937499999999999
pattern_2KB.bin,BLAKE2b,5.843750000000001
pattern_2MB.bin,MD5,4.0
pattern_2MB.bin,SHA-1,4.321928094887362
pattern_2MB.bin,SHA-256,5.0
pattern_2MB.bin,SHA3-256,4.937499999999999
pattern_2MB.bin,BLAKE2b,5.706954882778697
pattern_50KB.bin,MD5,3.75
pattern_50KB.bin,SHA-1,4.321928094887362
pattern_50KB.bin,SHA-256,4.937499999999999
pattern_50KB.bin,SHA3-256,5.0
pattern_50KB.bin,BLAKE2b,5.706954882778696
pattern_50MB.bin,MD5,3.8750000000000004
pattern_50MB.bin,SHA-1,4.121928094887363
pattern_50MB.bin,SHA-256,4.874999999999998
pattern_50MB.bin,SHA3-256,4.749999999999999
pattern_50MB.bin,BLAKE2b,5.875000000000002
pattern_5KB.bin,MD5,4.0
pattern_5KB.bin,SHA-1,4.321928094887362
pattern_5KB.bin,SHA-256,4.937499999999999
pattern_5KB.bin,SHA3-256,4.937499999999999
pattern_5KB.bin,BLAKE2b,5.675704882778698
pattern_5MB.bin,MD5,4.0
pattern_5MB.bin,SHA-1,4.221928094887362
pattern_5MB.bin,SHA-256,5.0
pattern_5MB.bin,SHA3-256,4.874999999999999
pattern_5MB.bin,BLAKE2b,5.695159765557393
random_100KB.bin,MD5,3.75
random_100KB.bin,SHA-1,4.321928094887362
random_100KB.bin,SHA-256,4.726409765557391
random_100KB.bin,SHA3-256,4.937499999999999
random_100KB.bin,BLAKE2b,5.843750000000001
random_100MB.bin,MD5,4.0
random_100MB.bin,SHA-1,4.321928094887362
random_100MB.bin,SHA-256,5.0
random_100MB.bin,SHA3-256,4.874999999999999
random_100MB.bin,BLAKE2b,5.875000000000001
random_10KB.bin,MD5,3.8750000000000004
random_10KB.bin,SHA-1,4.221928094887362
random_10KB.bin,SHA-256,5.0
random_10KB.bin,SHA3-256,4.874999999999999
random_10KB.bin,BLAKE2b,5.800704882778697
random_10MB.bin,MD5,3.8750000000000004
random_10MB.bin,SHA-1,4.321928094887362
random_10MB.bin,SHA-256,4.749999999999999
random_10MB.bin,SHA3-256,5.0
random_10MB.bin,BLAKE2b,5.738204882778696
random_1KB.bin,MD5,4.0
random_1KB.bin,SHA-1,4.221928094887361
random_1KB.bin,SHA-256,4.78890976555739
random_1KB.bin,SHA3-256,4.937499999999999
random_1KB.bin,BLAKE2b,5.937500000000001
random_1MB.bin,MD5,3.8750000000000004
random_1MB.bin,SHA-1,4.221928094887361
random_1MB.bin,SHA-256,4.937499999999999
random_1MB.bin,SHA3-256,4.874999999999999
random_1MB.bin,BLAKE2b,5.769454882778697
random_200MB.bin,MD5,4.0
random_200MB.bin,SHA-1,4.321928094887362
random_200MB.bin,SHA-256,4.812499999999999
random_200MB.bin,SHA3-256,4.937499999999999
random_200MB.bin,BLAKE2b,5.906250000000002
random_20KB.bin,MD5,4.0
random_20KB.bin,SHA-1,4.321928094887362
random_20KB.bin,SHA-256,4.874999999999998
random_20KB.bin,SHA3-256,4.937499999999999
random_20KB.bin,BLAKE2b,5.718750000000002
random_20MB.bin,MD5,4.0
random_20MB.bin,SHA-1,4.221928094887361
random_20MB.bin,SHA-256,4.812499999999999
random_20MB.bin,SHA3-256,4.937499999999999
random_20MB.bin,BLAKE2b,5.718750000000002
random_2KB.bin,MD5,4.0
random_2KB.bin,SHA-1,4.321928094887362
random_2KB.bin,SHA-256,4.874999999999999
random_2KB.bin,SHA3-256,4.874999999999999
random_2KB.bin,BLAKE2b,5.812500000000001
random_2MB.bin,MD5,3.8750000000000004
random_2MB.bin,SHA-1,4.121928094887363
random_2MB.bin,SHA-256,4.874999999999998
random_2MB.bin,SHA3-256,4.812499999999998
random_2MB.bin,BLAKE2b,5.800704882778697
random_50KB.bin,MD5,3.8750000000000004
random_50KB.bin,SHA-1,4.321928094887362
random_50KB.bin,SHA-256,4.812499999999998
random_50KB.bin,SHA3-256,4.874999999999998
random_50KB.bin,BLAKE2b,5.863204882778697
random_50MB.bin,MD5,4.0
random_50MB.bin,SHA-1,4.321928094887362
random_50MB.bin,SHA-256,4.788909765557391
random_50MB.bin,SHA3-256,4.937499999999999
random_50MB.bin,BLAKE2b,5.706954882778697
random_5KB.bin,MD5,3.8750000000000004
random_5KB.bin,SHA-1,4.321928094887362
random_5KB.bin,SHA-256,4.937499999999999
random_5KB.bin,SHA3-256,4.812499999999998
random_5KB.bin,BLAKE2b,5.738204882778696
random_5MB.bin,MD5,4.0
random_5MB.bin,SHA-1,4.321928094887362
random_5MB.bin,SHA-256,4.874999999999998
random_5MB.bin,SHA3-256,4.874999999999999
random_5MB.bin,BLAKE2b,5.78125
zero_filled_100KB.bin,MD5,3.8749999999999996
zero_filled_100KB.bin,SHA-1,4.221928094887361
zero_filled_100KB.bin,SHA-256,4.812499999999998
zero_filled_100KB.bin,SHA3-256,4.874999999999998
zero_filled_100KB.bin,BLAKE2b,5.937500000000002
zero_filled_100MB.bin,MD5,4.0
zero_filled_100MB.bin,SHA-1,4.221928094887361
zero_filled_100MB.bin,SHA-256,4.937499999999999
zero_filled_100MB.bin,SHA3-256,4.937499999999999
zero_filled_100MB.bin,BLAKE2b,5.675704882778697
zero_filled_10KB.bin,MD5,4.0
zero_filled_10KB.bin,SHA-1,4.221928094887361
zero_filled_10KB.bin,SHA-256,5.0
zero_filled_10KB.bin,SHA3-256,4.874999999999999
zero_filled_10KB.bin,BLAKE2b,5.906250000000002
zero_filled_10MB.bin,MD5,4.0
zero_filled_10MB.bin,SHA-1,4.221928094887361
zero_filled_10MB.bin,SHA-256,4.812499999999999
zero_filled_10MB.bin,SHA3-256,4.874999999999998
zero_filled_10MB.bin,BLAKE2b,5.706954882778698
zero_filled_1KB.bin,MD5,3.8750000000000004
zero_filled_1KB.bin,SHA-1,4.321928094887362
zero_filled_1KB.bin,SHA-256,4.874999999999998
zero_filled_1KB.bin,SHA3-256,4.663909765557391
zero_filled_1KB.bin,BLAKE2b,5.78125
zero_filled_1MB.bin,MD5,3.8749999999999996
zero_filled_1MB.bin,SHA-1,4.221928094887361
zero_filled_1MB.bin,SHA-256,5.0
zero_filled_1MB.bin,SHA3-256,4.874999999999999
zero_filled_1MB.bin,BLAKE2b,5.78125
zero_filled_200MB.bin,MD5,4.0
zero_filled_200MB.bin,SHA-1,4.221928094887361
zero_filled_200MB.bin,SHA-256,4.78890976555739
zero_filled_200MB.bin,SHA3-256,4.937499999999999
zero_filled_200MB.bin,BLAKE2b,5.738204882778696
zero_filled_20KB.bin,MD5,3.8750000000000004
zero_filled_20KB.bin,SHA-1,4.221928094887361
zero_filled_20KB.bin,SHA-256,4.874999999999998
zero_filled_20KB.bin,SHA3-256,4.874999999999998
zero_filled_20KB.bin,BLAKE2b,5.675704882778698
zero_filled_20MB.bin,MD5,3.8750000000000004
zero_filled_20MB.bin,SHA-1,4.321928094887362
zero_filled_20MB.bin,SHA-256,4.937499999999999
zero_filled_20MB.bin,SHA3-256,4.937499999999999
zero_filled_20MB.bin,BLAKE2b,5.78125
zero_filled_2KB.bin,MD5,3.8750000000000004
zero_filled_2KB.bin,SHA-1,4.0841837197791895
zero_filled_2KB.bin,SHA-256,4.812499999999998
zero_filled_2KB.bin,SHA3-256,5.0
zero_filled_2KB.bin,BLAKE2b,5.906250000000002
zero_filled_2MB.bin,MD5,4.0
zero_filled_2MB.bin,SHA-1,4.121928094887363
zero_filled_2MB.bin,SHA-256,5.0
zero_filled_2MB.bin,SHA3-256,4.937499999999999
zero_filled_2MB.bin,BLAKE2b,5.718750000000002
zero_filled_50KB.bin,MD5,4.0
zero_filled_50KB.bin,SHA-1,4.221928094887361
zero_filled_50KB.bin,SHA-256,4.937499999999999
zero_filled_50KB.bin,SHA3-256,4.937499999999999
zero_filled_50KB.bin,BLAKE2b,5.75
zero_filled_50MB.bin,MD5,4.0
zero_filled_50MB.bin,SHA-1,4.221928094887362
zero_filled_50MB.bin,SHA-256,4.874999999999999
zero_filled_50MB.bin,SHA3-256,4.937499999999999
zero_filled_50MB.bin,BLAKE2b,5.738204882778696
zero_filled_5KB.bin,MD5,4.0
zero_filled_5KB.bin,SHA-1,4.121928094887363
zero_filled_5KB.bin,SHA-256,5.0
zero_filled_5KB.bin,SHA3-256,4.874999999999999
zero_filled_5KB.bin,BLAKE2b,5.906250000000002
zero_filled_5MB.bin,MD5,3.8750000000000004
zero_filled_5MB.bin,SHA-1,4.221928094887361
zero_filled_5MB.bin,SHA-256,4.937499999999999
zero_filled_5MB.bin,SHA3-256,4.937499999999999
zero_filled_5MB.bin,BLAKE2b,5.843750000000001
