File Size (bytes),Algorithm,Time Taken (s)
102400,MD5,0.0007939338684082031
102400,SHA-1,7.414817810058594e-05
102400,SHA-256,6.29425048828125e-05
102400,SHA3-256,0.00017380714416503906
102400,BLAKE2b,0.00012230873107910156
104857600,MD5,0.2362658977508545
104857600,SHA-1,0.05567312240600586
104857600,SHA-256,0.053076982498168945
104857600,SHA3-256,0.16364431381225586
104857600,BLAKE2b,0.11683773994445801
10240,MD5,0.0008449554443359375
10240,SHA-1,0.00011014938354492188
10240,SHA-256,8.821487426757812e-05
10240,SHA3-256,0.0001380443572998047
10240,BLAKE2b,0.00011587142944335938
10485760,MD5,0.021332979202270508
10485760,SHA-1,0.005167722702026367
10485760,SHA-256,0.00506281852722168
10485760,SHA3-256,0.01617288589477539
10485760,BLAKE2b,0.011321067810058594
1024,MD5,0.0001468658447265625
1024,SHA-1,2.002716064453125e-05
1024,SHA-256,1.3113021850585938e-05
1024,SHA3-256,1.1920928955078125e-05
1024,BLAKE2b,1.2159347534179688e-05
1048576,MD5,0.002939939498901367
1048576,SHA-1,0.0005099773406982422
1048576,SHA-256,0.0005230903625488281
1048576,SHA3-256,0.001619100570678711
1048576,BLAKE2b,0.0020318031311035156
209715200,MD5,0.4424302577972412
209715200,SHA-1,0.10780811309814453
209715200,SHA-256,0.10589599609375
209715200,SHA3-256,0.32683610916137695
209715200,BLAKE2b,0.23862218856811523
20480,MD5,0.000997781753540039
20480,SHA-1,5.1975250244140625e-05
20480,SHA-256,2.5033950805664062e-05
20480,SHA3-256,4.696846008300781e-05
20480,BLAKE2b,4.100799560546875e-05
20971520,MD5,0.039904117584228516
20971520,SHA-1,0.010505914688110352
20971520,SHA-256,0.010215997695922852
20971520,SHA3-256,0.03218507766723633
20971520,BLAKE2b,0.022716045379638672
2048,MD5,0.0009016990661621094
2048,SHA-1,1.8835067749023438e-05
2048,SHA-256,1.7881393432617188e-05
2048,SHA3-256,1.52587890625e-05
2048,BLAKE2b,1.3828277587890625e-05
2097152,MD5,0.007266044616699219
2097152,SHA-1,0.001336812973022461
2097152,SHA-256,0.0009899139404296875
2097152,SHA3-256,0.0031669139862060547
2097152,BLAKE2b,0.0022280216217041016
51200,MD5,0.00026488304138183594
51200,SHA-1,4.57763671875e-05
51200,SHA-256,3.814697265625e-05
51200,SHA3-256,9.012222290039062e-05
51200,BLAKE2b,6.723403930664062e-05
52428800,MD5,0.10904407501220703
52428800,SHA-1,0.02662801742553711
52428800,SHA-256,0.026727914810180664
52428800,SHA3-256,0.08164310455322266
52428800,BLAKE2b,0.05751609802246094
5120,MD5,0.0008447170257568359
5120,SHA-1,4.506111145019531e-05
5120,SHA-256,1.7881393432617188e-05
5120,SHA3-256,2.002716064453125e-05
5120,BLAKE2b,1.7881393432617188e-05
5242880,MD5,0.014660835266113281
5242880,SHA-1,0.0025451183319091797
5242880,SHA-256,0.0024709701538085938
5242880,SHA3-256,0.00792074203491211
5242880,BLAKE2b,0.005548954010009766
102400,MD5,0.0008342266082763672
102400,SHA-1,6.604194641113281e-05
102400,SHA-256,5.984306335449219e-05
102400,SHA3-256,0.0001671314239501953
102400,BLAKE2b,0.0001251697540283203
104857600,MD5,0.22130608558654785
104857600,SHA-1,0.05556511878967285
104857600,SHA-256,0.053601741790771484
104857600,SHA3-256,0.16378283500671387
104857600,BLAKE2b,0.11564111709594727
10240,MD5,0.0006520748138427734
10240,SHA-1,4.8160552978515625e-05
10240,SHA-256,2.384185791015625e-05
10240,SHA3-256,3.1948089599609375e-05
10240,BLAKE2b,2.6941299438476562e-05
10485760,MD5,0.020627260208129883
10485760,SHA-1,0.005134105682373047
10485760,SHA-256,0.00501704216003418
10485760,SHA3-256,0.01595306396484375
10485760,BLAKE2b,0.011140108108520508
1024,MD5,0.0001919269561767578
1024,SHA-1,1.6927719116210938e-05
1024,SHA-256,1.1920928955078125e-05
1024,SHA3-256,1.2159347534179688e-05
1024,BLAKE2b,1.0967254638671875e-05
1048576,MD5,0.0027828216552734375
1048576,SHA-1,0.0005090236663818359
1048576,SHA-256,0.0004971027374267578
1048576,SHA3-256,0.0015900135040283203
1048576,BLAKE2b,0.0011157989501953125
209715200,MD5,0.4339561462402344
209715200,SHA-1,0.10705280303955078
209715200,SHA-256,0.10681915283203125
209715200,SHA3-256,0.3320469856262207
209715200,BLAKE2b,0.23204994201660156
20480,MD5,0.0010859966278076172
20480,SHA-1,3.0040740966796875e-05
20480,SHA-256,2.3126602172851562e-05
20480,SHA3-256,4.1961669921875e-05
20480,BLAKE2b,3.719329833984375e-05
20971520,MD5,0.04021716117858887
20971520,SHA-1,0.010435104370117188
20971520,SHA-256,0.010210037231445312
20971520,SHA3-256,0.032357215881347656
20971520,BLAKE2b,0.022786855697631836
2048,MD5,0.0008072853088378906
2048,SHA-1,3.0994415283203125e-05
2048,SHA-256,1.7881393432617188e-05
2048,SHA3-256,2.5987625122070312e-05
2048,BLAKE2b,1.6689300537109375e-05
2097152,MD5,0.004921913146972656
2097152,SHA-1,0.0010039806365966797
2097152,SHA-256,0.0009899139404296875
2097152,SHA3-256,0.0031669139862060547
2097152,BLAKE2b,0.0022268295288085938
51200,MD5,0.0006401538848876953
51200,SHA-1,4.1961669921875e-05
51200,SHA-256,3.409385681152344e-05
51200,SHA3-256,8.702278137207031e-05
51200,BLAKE2b,6.389617919921875e-05
52428800,MD5,0.10683226585388184
52428800,SHA-1,0.02660679817199707
52428800,SHA-256,0.026169776916503906
52428800,SHA3-256,0.08165526390075684
52428800,BLAKE2b,0.05803513526916504
5120,MD5,0.0007429122924804688
5120,SHA-1,2.7894973754882812e-05
5120,SHA-256,1.5974044799804688e-05
5120,SHA3-256,1.9788742065429688e-05
5120,BLAKE2b,1.6927719116210938e-05
5242880,MD5,0.011134147644042969
5242880,SHA-1,0.0027570724487304688
5242880,SHA-256,0.0026938915252685547
5242880,SHA3-256,0.008576154708862305
5242880,BLAKE2b,0.0059337615966796875
102400,MD5,0.0003819465637207031
102400,SHA-1,7.009506225585938e-05
102400,SHA-256,6.222724914550781e-05
102400,SHA3-256,0.00017404556274414062
102400,BLAKE2b,0.00012493133544921875
104857600,MD5,0.2128279209136963
104857600,SHA-1,0.05341291427612305
104857600,SHA-256,0.052835941314697266
104857600,SHA3-256,0.16378021240234375
104857600,BLAKE2b,0.1159200668334961
10240,MD5,0.0009150505065917969
10240,SHA-1,3.981590270996094e-05
10240,SHA-256,2.3126602172851562e-05
10240,SHA3-256,3.0040740966796875e-05
10240,BLAKE2b,2.47955322265625e-05
10485760,MD5,0.020663976669311523
10485760,SHA-1,0.005134105682373047
10485760,SHA-256,0.004977226257324219
10485760,SHA3-256,0.01585984230041504
10485760,BLAKE2b,0.011141777038574219
1024,MD5,0.00020503997802734375
1024,SHA-1,1.9073486328125e-05
1024,SHA-256,1.0967254638671875e-05
1024,SHA3-256,1.1920928955078125e-05
1024,BLAKE2b,1.5974044799804688e-05
1048576,MD5,0.003075122833251953
1048576,SHA-1,0.0005083084106445312
1048576,SHA-256,0.0004968643188476562
1048576,SHA3-256,0.0015900135040283203
1048576,BLAKE2b,0.0011141300201416016
209715200,MD5,0.42046403884887695
209715200,SHA-1,0.10930395126342773
209715200,SHA-256,0.11030030250549316
209715200,SHA3-256,0.32744598388671875
209715200,BLAKE2b,0.23171210289001465
20480,MD5,0.0009419918060302734
20480,SHA-1,2.5033950805664062e-05
20480,SHA-256,2.09808349609375e-05
20480,SHA3-256,4.1961669921875e-05
20480,BLAKE2b,3.2901763916015625e-05
20971520,MD5,0.04407978057861328
20971520,SHA-1,0.01116490364074707
20971520,SHA-256,0.010879039764404297
20971520,SHA3-256,0.03378009796142578
20971520,BLAKE2b,0.023802995681762695
2048,MD5,0.0002799034118652344
2048,SHA-1,2.0265579223632812e-05
2048,SHA-256,1.4066696166992188e-05
2048,SHA3-256,1.5020370483398438e-05
2048,BLAKE2b,1.2874603271484375e-05
2097152,MD5,0.00614619255065918
2097152,SHA-1,0.0015702247619628906
2097152,SHA-256,0.000988006591796875
2097152,SHA3-256,0.003298044204711914
2097152,BLAKE2b,0.002515077590942383
51200,MD5,0.0002689361572265625
51200,SHA-1,4.57763671875e-05
51200,SHA-256,3.933906555175781e-05
51200,SHA3-256,8.869171142578125e-05
51200,BLAKE2b,6.413459777832031e-05
52428800,MD5,0.1071019172668457
52428800,SHA-1,0.027502775192260742
52428800,SHA-256,0.027395009994506836
52428800,SHA3-256,0.08401799201965332
52428800,BLAKE2b,0.05895590782165527
5120,MD5,0.0008130073547363281
5120,SHA-1,2.8848648071289062e-05
5120,SHA-256,1.7881393432617188e-05
5120,SHA3-256,1.9788742065429688e-05
5120,BLAKE2b,1.6927719116210938e-05
5242880,MD5,0.012268781661987305
5242880,SHA-1,0.002602100372314453
5242880,SHA-256,0.0026397705078125
5242880,SHA3-256,0.008088111877441406
5242880,BLAKE2b,0.005612850189208984
