File Size (bytes),Algorithm,Encryption Time (s),Decryption Time (s)
102400,AES (128-bit),0.0007276535034179688,0.00014829635620117188
102400,3DES,0.009285926818847656,0.00933980941772461
102400,ChaCha20,0.00012493133544921875,0.00010704994201660156
102400,Camellia (128-bit),0.0027000904083251953,0.0028128623962402344
10240,AES (128-bit),0.00024580955505371094,1.1205673217773438e-05
10240,3DES,0.0009148120880126953,0.0009059906005859375
10240,ChaCha20,2.09808349609375e-05,6.9141387939453125e-06
10240,Camellia (128-bit),0.0002779960632324219,0.0002658367156982422
10485760,AES (128-bit),0.5513670444488525,0.728424072265625
10485760,3DES,1.266779899597168,1.6156790256500244
10485760,ChaCha20,0.37537193298339844,0.692425012588501
10485760,Camellia (128-bit),0.5984668731689453,0.9261789321899414
1024,AES (128-bit),0.0008707046508789062,1.3113021850585938e-05
1024,3DES,0.0001430511474609375,9.202957153320312e-05
1024,ChaCha20,2.4080276489257812e-05,9.5367431640625e-07
1024,Camellia (128-bit),4.410743713378906e-05,2.8133392333984375e-05
1048576,AES (128-bit),0.005045175552368164,0.007239818572998047
1048576,3DES,0.09739899635314941,0.10126113891601562
1048576,ChaCha20,0.0032110214233398438,0.006226778030395508
1048576,Camellia (128-bit),0.030278682708740234,0.03334522247314453
20480,AES (128-bit),0.0009839534759521484,2.4080276489257812e-05
20480,3DES,0.0018410682678222656,0.0018148422241210938
20480,ChaCha20,2.7894973754882812e-05,1.4066696166992188e-05
20480,Camellia (128-bit),0.0005688667297363281,0.000553131103515625
20971520,AES (128-bit),3.161285877227783,3.252701759338379
20971520,3DES,5.162818193435669,5.092907905578613
20971520,ChaCha20,3.1056158542633057,3.1988770961761475
20971520,Camellia (128-bit),3.6124072074890137,3.7662899494171143
2048,AES (128-bit),0.0011019706726074219,3.814697265625e-06
2048,3DES,0.00023818016052246094,0.0001819133758544922
2048,ChaCha20,2.09808349609375e-05,1.9073486328125e-06
2048,Camellia (128-bit),6.985664367675781e-05,5.507469177246094e-05
2097152,AES (128-bit),0.01852107048034668,0.031108856201171875
2097152,3DES,0.20331978797912598,0.22063708305358887
2097152,ChaCha20,0.015326976776123047,0.032521963119506836
2097152,Camellia (128-bit),0.06885790824890137,0.08509206771850586
51200,AES (128-bit),0.0014951229095458984,0.0001277923583984375
51200,3DES,0.004575967788696289,0.0046100616455078125
51200,ChaCha20,6.079673767089844e-05,4.6253204345703125e-05
51200,Camellia (128-bit),0.0013082027435302734,0.0013349056243896484
5120,AES (128-bit),0.00022292137145996094,6.198883056640625e-06
5120,3DES,0.0004680156707763672,0.0004520416259765625
5120,ChaCha20,1.9073486328125e-05,3.814697265625e-06
5120,Camellia (128-bit),0.00014734268188476562,0.00013065338134765625
5242880,AES (128-bit),0.10901999473571777,0.21965312957763672
5242880,3DES,0.6754801273345947,0.68060302734375
5242880,ChaCha20,0.10866999626159668,0.21573090553283691
5242880,Camellia (128-bit),0.24149203300476074,0.35434985160827637
102400,AES (128-bit),0.0009210109710693359,0.00023698806762695312
102400,3DES,0.00928497314453125,0.009524106979370117
102400,ChaCha20,0.00012111663818359375,0.00023698806762695312
102400,Camellia (128-bit),0.002855062484741211,0.0029108524322509766
10240,AES (128-bit),0.00022101402282714844,1.3113021850585938e-05
10240,3DES,0.0009300708770751953,0.0009038448333740234
10240,ChaCha20,2.09808349609375e-05,7.152557373046875e-06
10240,Camellia (128-bit),0.00031304359436035156,0.00028896331787109375
10485760,AES (128-bit),0.6702148914337158,0.717893123626709
10485760,3DES,1.28910493850708,1.5928959846496582
10485760,ChaCha20,0.34224581718444824,0.678534984588623
10485760,Camellia (128-bit),0.6063327789306641,0.9366600513458252
1024,AES (128-bit),0.0010581016540527344,2.1457672119140625e-06
1024,3DES,0.000125885009765625,9.202957153320312e-05
1024,ChaCha20,2.2172927856445312e-05,7.152557373046875e-07
1024,Camellia (128-bit),4.1961669921875e-05,2.7894973754882812e-05
1048576,AES (128-bit),0.005036592483520508,0.006623029708862305
1048576,3DES,0.09780001640319824,0.10093998908996582
1048576,ChaCha20,0.003259897232055664,0.006174802780151367
1048576,Camellia (128-bit),0.030118942260742188,0.03339099884033203
20480,AES (128-bit),0.0009729862213134766,2.193450927734375e-05
20480,3DES,0.0018489360809326172,0.0018188953399658203
20480,ChaCha20,3.0994415283203125e-05,1.3828277587890625e-05
20480,Camellia (128-bit),0.0005741119384765625,0.0005168914794921875
20971520,AES (128-bit),3.0756537914276123,3.5169992446899414
20971520,3DES,5.143512725830078,5.183830976486206
20971520,ChaCha20,3.2834770679473877,3.328160047531128
20971520,Camellia (128-bit),3.82753586769104,3.915943145751953
2048,AES (128-bit),0.0003719329833984375,4.76837158203125e-06
2048,3DES,0.00021409988403320312,0.0001819133758544922
2048,ChaCha20,2.193450927734375e-05,2.1457672119140625e-06
2048,Camellia (128-bit),7.009506225585938e-05,5.507469177246094e-05
2097152,AES (128-bit),0.019160747528076172,0.032295942306518555
2097152,3DES,0.20336318016052246,0.21945595741271973
2097152,ChaCha20,0.018648862838745117,0.031636953353881836
2097152,Camellia (128-bit),0.06891226768493652,0.0865926742553711
51200,AES (128-bit),0.001287221908569336,8.678436279296875e-05
51200,3DES,0.004538774490356445,0.0046541690826416016
51200,ChaCha20,6.508827209472656e-05,4.410743713378906e-05
51200,Camellia (128-bit),0.001316070556640625,0.0014040470123291016
5120,AES (128-bit),0.0001800060272216797,5.9604644775390625e-06
5120,3DES,0.00046706199645996094,0.00045299530029296875
5120,ChaCha20,1.6927719116210938e-05,3.0994415283203125e-06
5120,Camellia (128-bit),0.0001468658447265625,0.0001323223114013672
5242880,AES (128-bit),0.12495613098144531,0.2252180576324463
5242880,3DES,0.5791947841644287,0.6951701641082764
5242880,ChaCha20,0.10911273956298828,0.22540903091430664
5242880,Camellia (128-bit),0.24310708045959473,0.35774898529052734
102400,AES (128-bit),0.0010101795196533203,0.0002548694610595703
102400,3DES,0.00952601432800293,0.00938105583190918
102400,ChaCha20,0.00021791458129882812,0.0001990795135498047
102400,Camellia (128-bit),0.0027599334716796875,0.002716064453125
10240,AES (128-bit),0.00022482872009277344,1.2159347534179688e-05
10240,3DES,0.0009219646453857422,0.0009031295776367188
10240,ChaCha20,2.3126602172851562e-05,6.9141387939453125e-06
10240,Camellia (128-bit),0.0002810955047607422,0.0002570152282714844
10485760,AES (128-bit),0.5896909236907959,0.7647008895874023
10485760,3DES,1.284604787826538,1.6406400203704834
10485760,ChaCha20,0.33629488945007324,0.7265810966491699
10485760,Camellia (128-bit),0.6214179992675781,1.0317308902740479
1024,AES (128-bit),0.0004298686981201172,2.1457672119140625e-06
1024,3DES,0.00011587142944335938,9.202957153320312e-05
1024,ChaCha20,2.0265579223632812e-05,9.5367431640625e-07
1024,Camellia (128-bit),4.315376281738281e-05,2.8848648071289062e-05
1048576,AES (128-bit),0.004962921142578125,0.007560253143310547
1048576,3DES,0.10100603103637695,0.10454702377319336
1048576,ChaCha20,0.003465890884399414,0.006452083587646484
1048576,Camellia (128-bit),0.030896902084350586,0.03360605239868164
20480,AES (128-bit),0.0012428760528564453,2.5033950805664062e-05
20480,3DES,0.0018203258514404297,0.0018398761749267578
20480,ChaCha20,2.8848648071289062e-05,1.4066696166992188e-05
20480,Camellia (128-bit),0.0005450248718261719,0.0005159378051757812
20971520,AES (128-bit),3.209505081176758,3.280461072921753
20971520,3DES,5.160226106643677,5.148761987686157
20971520,ChaCha20,3.2464230060577393,3.2880239486694336
20971520,Camellia (128-bit),3.763543128967285,3.829105854034424
2048,AES (128-bit),0.00028586387634277344,4.291534423828125e-06
2048,3DES,0.00020885467529296875,0.0001819133758544922
2048,ChaCha20,2.002716064453125e-05,2.1457672119140625e-06
2048,Camellia (128-bit),6.890296936035156e-05,5.507469177246094e-05
2097152,AES (128-bit),0.01883697509765625,0.03361105918884277
2097152,3DES,0.20336031913757324,0.22238779067993164
2097152,ChaCha20,0.014857292175292969,0.03162693977355957
2097152,Camellia (128-bit),0.06995511054992676,0.08617806434631348
51200,AES (128-bit),0.0016040802001953125,0.00025081634521484375
51200,3DES,0.004797935485839844,0.004662990570068359
51200,ChaCha20,6.604194641113281e-05,0.00015687942504882812
51200,Camellia (128-bit),0.0013439655303955078,0.0013899803161621094
5120,AES (128-bit),0.00035381317138671875,8.106231689453125e-06
5120,3DES,0.000492095947265625,0.00045108795166015625
5120,ChaCha20,1.9073486328125e-05,2.86102294921875e-06
5120,Camellia (128-bit),0.00014781951904296875,0.00013208389282226562
5242880,AES (128-bit),0.10949397087097168,0.21868491172790527
5242880,3DES,0.579876184463501,0.6890578269958496
5242880,ChaCha20,0.10783123970031738,0.2138669490814209
5242880,Camellia (128-bit),0.24321794509887695,0.35163211822509766
